Taxa	EarHT	dpoll	EarDia
H95	55	65.5	38.834
H99	31	68.5	34.677
HI27	93.5	71	35.425
HP301	62	61.5	27.158
HY	56.5	64.5	34.823
I137TN	56.5	69	NaN
I205	55	66	NaN
I29	54	63	31.407
IA2132	43	67	35.154
IA5125	29.5	64	29.7525
IDS28	71.5	63	31.358
IDS69	44	65	24.88225
IDS91	41	62.5	27.553
IL101	31.5	65	32.357
IL14H	46	61	34.999
IL677A	45.5	64.5	36.276
K148	42	65.5	33.984
K4	70	69	36.81433
K55	43	67.5	39.8425
K64	69.25	67.5	42.828
KI11	63	74.5	40.465
KI14	95.5	78	29.192
KI2007	61	67.5	37.622
KI2021	107	75	40.14633
KI21	87.5	70.5	40.063
KI3	57.75	72	34.7015
KI43	59	76	30.326
KI44	55	71	33.19267
KY21	76.5	70.5	38.93467
KY226	64	72.5	37.37125
KY228	58.38	75.5	NaN
L317	98	65.5	34.72825
L578	101.5	72.5	39.627
M14	35	59.5	35.6355
M162W	63.5	74.5	40.095
M37W	62.88	70	38.801
MEF15655	NaN	65	NaN
MEF156-55-2	62.5	NaN	NaN
MO17	46	59.5	33.672
MO18W	65.5	70.5	39.596
MO1W	62	65	42.972
MO24W	101.5	67.5	45.51175
MO44	46	57.5	38.022
MO45	74.33	65.5	35.389
MO46	54.5	65	39.526
MO47	36.5	59	35.91767
MOG	87.88	65	42.585
MP339	71.5	71.5	38.333
MS1334	54.5	66	30.83556
MS153	55	59	42.406
MS71	47.5	57	35.358
MT42	44.5	59	29.971
N192	42.5	57.5	40.355
N28HT	57	66.5	41.431
N6	45	61	39.82533
N7A	54.5	63.5	41.767
NC222	84.5	70.5	37.047
NC230	57	70	43.833
NC232	55	68.5	44.877
NC236	58	72.5	36.2865
NC238	43	78	38.29429
NC250	37	64	36.44
NC258	60.5	70	36.866
NC260	52.5	63	35.866
NC262	25	59	37.31
NC264	48	65	38.303
NC268	74.38	69.5	32.867
NC290A	34	61.5	40.5525
NC292	55.5	65.5	42.8125
NC294	74	66.5	38.888
NC296	68.5	67	38.83125
NC296A	59.5	68.5	38.211
NC298	62	72.5	29.191
NC300	68	70	42.694
NC302	53	67.5	36.349
NC304	8	65	NaN
NC306	62.88	68	34.54667
NC308	59.63	66	39.408
NC310	60.5	65	41.4595
NC312	67.5	69.5	38.0875
NC314	58	66	36.278
NC316	85.38	69	42.321
NC318	72	72	31.811
NC320	83	71.5	41.711
NC322	77.5	71.5	33.15975
NC324	56.5	68	33.9025
NC326	88	67	41.2355
NC328	60	66	37.45
NC33	101	72	36.104
NC330	70	70	42.79525
NC332	76.5	71	34.923
NC334	80.5	70.5	33.938
NC336	50.5	75.5	34.172
NC338	71.5	70	33.97
NC340	60.5	65.5	38.974
NC342	68	64.5	35.18633
NC344	63.5	70.5	38.60725
NC346	62	68	36.276
NC348	73	67	31.202
NC350	49.5	69.5	32.829
NC352	53.5	72	35.537
NC354	67	71.5	32.8105
NC356	56	66.5	34.34075
NC358	41	63	35.785
NC360	56	71.5	37.205
NC362	51.5	63	38.849
NC364	48.5	64.5	38.6825
NC366	58	72.5	35.826
NC368	64.5	69	42.06567
NC370	70.63	72.5	42.082
NC372	69	68	42.281
ND246	32.5	54.5	28.935
OH40B	51.5	67.5	34.962
OH43	45	61	37.77
OH43E	31.5	61	37.124
OH603	48.5	65.5	NaN
OH7B	87	72.5	37.535
OS420	66	60.5	39.417
P39	43.5	64	35.394
PA762	50.5	67	37.828
PA875	67	65.5	40.87967
PA880	69.5	64.5	NaN
PA91	63	68.5	36.12175
Q6199	NaN	85	NaN
R109B	45	65	NaN
R168	57.92	64.5	28.88775
R177	31	61	38.019
R229	76	67	43.504
R4	48	67	37.284
SA24	60.5	65	29.11575
SC213R	67	76	34.337
SC357	55.5	74.5	34.858
SC55	128	75	41.88
SD40	46.5	60	38.5555
SD44	39	61.5	36.73775
SG1533	82.5	62.5	33.8
SG18	88.5	63.5	29.78
T232	73.5	70	35.651
T234	63.08	68.5	39.432
T8	87.75	70.5	35.29
TX303	102	71	41.5
TX601	87.63	78.5	42.91188
TZI10	81	78	33.84983
TZI11	75.5	71.5	32.988
TZI16	76.75	74	41.737
TZI18	79.38	70	39.82575
TZI25	82	72.5	38.817
TZI8	89.5	72.5	41.56075
TZI9	79	72	40.403
U267Y	53.5	75.5	35.491
VA102	47.5	65	NaN
VA14	56	66.5	36.955
VA17	49	63.5	34.376
VA22	62.5	66	36.168
VA26	41	61	37.617
VA35	52	63	40.0005
VA59	36.5	60.5	37.58
VA85	66	62.5	37.304
VA99	56	67.5	40.421
VAW6	38	62.5	35.685
W117HT	31	66	23.72333
W153R	27.5	66	NaN
W182B	46	62.5	31.492
W22	44	63.5	36.041
W401	35.5	58.5	35.40125
W64A	59.5	62.5	35.982
WD	48.5	62.5	30.479
WF9	52	64.5	36.61475
YU796NS	56.5	64	40.755
